target_chr	target_start	target_end	bait_chr	bait_start	bait_end	bait_name	score	tissue	promoter_chr	promoter_start	promoter_end	gene	overlapping_bp
chr1	39536549	39541226	chr1	39945175	39950907	mm1333	5.26	TK	chr1	39529919	39542120	Cnot11	4677
chr1	39536549	39541226	chr1	39945175	39950907	mm1333	5.2	FL	chr1	39529919	39542120	Cnot11	4677
chr1	39536549	39541226	chr1	39945175	39950907	mm1333	5.59	NT	chr1	39529919	39542120	Cnot11	4677
chr1	39536549	39541226	chr1	39945175	39950907	mm1333	5.63	HR	chr1	39529919	39542120	Cnot11	4677
chr1	39536549	39541226	chr1	39945175	39950907	mm1333	6.7	HB	chr1	39529919	39542120	Cnot11	4677
chr1	39567727	39572230	chr1	39945175	39950907	mm1333	5.41	CF	chr1	39570319	39583120	Gm23722, Rnf149	1911
chr1	39641236	39646686	chr1	39945175	39950907	mm1333	5.62	TK	chr1	39644433	39656433	Creg2	2253
chr1	39641236	39646686	chr1	39945175	39950907	mm1333	5.89	TL	chr1	39644433	39656433	Creg2	2253
chr1	39646687	39650272	chr1	39945175	39950907	mm1333	5.19	TK	chr1	39644433	39656433	Creg2	3585
chr1	39646687	39650272	chr1	39945175	39950907	mm1333	5.8	TL	chr1	39644433	39656433	Creg2	3585
chr1	39646687	39650272	chr1	39945175	39950907	mm1333	5	HR	chr1	39644433	39656433	Creg2	3585
chr1	39650273	39653159	chr1	39945175	39950907	mm1333	6.65	HB	chr1	39644433	39656433	Creg2	2886
chr1	39655826	39660775	chr1	39945175	39950907	mm1333	6.62	CF	chr1	39644433	39656433	Creg2	607
chr1	39655826	39660775	chr1	39945175	39950907	mm1333	7.77	TK	chr1	39644433	39656433	Creg2	607
chr1	39717457	39723313	chr1	39945175	39950907	mm1333	5.06	CF	chr1	39715440	39726641	Rfx8	5856
chr1	39717457	39723313	chr1	39945175	39950907	mm1333	5.69	TL	chr1	39715440	39726641	Rfx8	5856
chr1	39717457	39723313	chr1	39945175	39950907	mm1333	8.12	TK	chr1	39715440	39726641	Rfx8	5856
chr1	40794438	40797139	chr1	42739556	42742910	hs990	5.86	HB	chr1	40784840	40796441	Mfsd9	2003
chr1	40797140	40802473	chr1	42739556	42742910	hs990	5.47	HR	chr1	40800440	40811441	Tmem182	2033
chr1	40797140	40802473	chr1	42739556	42742910	hs990	5.76	MB	chr1	40800440	40811441	Tmem182	2033
chr1	40797140	40802473	chr1	42739556	42742910	hs990	6.5	FB	chr1	40800440	40811441	Tmem182	2033
chr1	40804390	40807891	chr1	42739556	42742910	hs990	5.61	CF	chr1	40800440	40811441	Tmem182	3501
chr1	41922184	41926632	chr1	42537892	42541361	hs969	5.68	NT	chr1	41913040	41923241	Gm29260	1057
chr1	41922184	41926632	chr1	42537892	42541361	hs969	6.07	FB	chr1	41913040	41923241	Gm29260	1057
chr1	41922184	41926632	chr1	42689561	42692608	hs1553	6.47	FL	chr1	41913040	41923241	Gm29260	1057
chr1	41922184	41926632	chr1	42689561	42692608	hs1553	7.23	FB	chr1	41913040	41923241	Gm29260	1057
chr1	42254606	42259881	chr1	42689561	42692608	hs1553	5.03	HB	chr1	42254640	42265841	Gm28175	5241
chr1	42254606	42259881	chr1	42689561	42692608	hs1553	5.03	HB	chr1	42256040	42266241	Gm28175	3841
chr1	42254606	42259881	chr1	42689561	42692608	hs1553	5.03	HB	chr1	42256440	42268041	Gm28175	3441
chr1	42254606	42259881	chr1	42689561	42692608	hs1553	5.54	FB	chr1	42254640	42265841	Gm28175	5241
chr1	42254606	42259881	chr1	42689561	42692608	hs1553	5.54	FB	chr1	42256040	42266241	Gm28175	3841
chr1	42254606	42259881	chr1	42689561	42692608	hs1553	5.54	FB	chr1	42256440	42268041	Gm28175	3441
chr1	42254606	42259881	chr1	42689561	42692608	hs1553	6.03	MB	chr1	42254640	42265841	Gm28175	5241
chr1	42254606	42259881	chr1	42689561	42692608	hs1553	6.03	MB	chr1	42256040	42266241	Gm28175	3841
chr1	42254606	42259881	chr1	42689561	42692608	hs1553	6.03	MB	chr1	42256440	42268041	Gm28175	3441
chr1	42263967	42268852	chr1	42689561	42692608	hs1553	5.15	MB	chr1	42254640	42265841	Gm28175	1874
chr1	42263967	42268852	chr1	42689561	42692608	hs1553	5.15	MB	chr1	42256040	42266241	Gm28175	2274
chr1	42263967	42268852	chr1	42689561	42692608	hs1553	5.15	MB	chr1	42256440	42268041	Gm28175	4074
chr1	42263967	42268852	chr1	42689561	42692608	hs1553	5.56	FB	chr1	42254640	42265841	Gm28175	1874
chr1	42263967	42268852	chr1	42689561	42692608	hs1553	5.56	FB	chr1	42256040	42266241	Gm28175	2274
chr1	42263967	42268852	chr1	42689561	42692608	hs1553	5.56	FB	chr1	42256440	42268041	Gm28175	4074
chr1	42677613	42681849	chr1	40940262	40945453	hs1212	8.39	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41143611	41146886	hs1581	5.15	HL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41143611	41146886	hs1581	5.57	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41143611	41146886	hs1581	5.94	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41143611	41146886	hs1581	6.33	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41143611	41146886	hs1581	7.4	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41143611	41146886	hs1581	9.14	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41165082	41168931	hs1093	6.04	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41165082	41168931	hs1093	6.54	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41165082	41168931	hs1093	8.74	HR	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41273649	41277960	hs1112	5.04	HL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41273649	41277960	hs1112	5.18	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41273649	41277960	hs1112	5.34	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41273649	41277960	hs1112	7.3	HR	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41273649	41277960	hs1112	7.44	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41386365	41391857	hs1555	6.79	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41918170	41922183	hs1303	5.19	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41918170	41922183	hs1303	5.21	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41918170	41922183	hs1303	5.42	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	41933990	41937544	hs1554	5.19	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	42254606	42259881	hs1534	5.3	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	42254606	42259881	hs1534	5.79	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42677613	42681849	chr1	42254606	42259881	hs1534	6.49	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3609
chr1	42681850	42685554	chr1	41143611	41146886	hs1581	5.11	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41143611	41146886	hs1581	5.21	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41143611	41146886	hs1581	5.73	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41143611	41146886	hs1581	6.36	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41143611	41146886	hs1581	7.23	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41143611	41146886	hs1581	7.27	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41143611	41146886	hs1581	7.56	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41165082	41168931	hs1093	7.6	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41273649	41277960	hs1112	5.86	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41273649	41277960	hs1112	6.26	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41273649	41277960	hs1112	7.6	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41386365	41391857	hs1555	7.69	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	41386365	41391857	hs1555	8.12	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42681850	42685554	chr1	42254606	42259881	hs1534	5.66	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3704
chr1	42685555	42689560	chr1	41143611	41146886	hs1581	10.05	HR	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41143611	41146886	hs1581	5.5	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41143611	41146886	hs1581	6.04	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41143611	41146886	hs1581	8.94	FL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41143611	41146886	hs1581	9	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41165082	41168931	hs1093	5.29	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41165082	41168931	hs1093	5.5	HR	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41165082	41168931	hs1093	5.7	HL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41165082	41168931	hs1093	6.92	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41165082	41168931	hs1093	8.21	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41273649	41277960	hs1112	11.09	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41273649	41277960	hs1112	6.31	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41273649	41277960	hs1112	6.37	FL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41273649	41277960	hs1112	6.71	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41273649	41277960	hs1112	7.19	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41273649	41277960	hs1112	7.36	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41273649	41277960	hs1112	7.96	HL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41273649	41277960	hs1112	8.4	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41386365	41391857	hs1555	13.11	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41386365	41391857	hs1555	6.09	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41386365	41391857	hs1555	6.77	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41386365	41391857	hs1555	7.22	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	41918170	41922183	hs1303	6.97	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	42241690	42245063	hs1131	6.98	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	42254606	42259881	hs1534	6.4	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42685555	42689560	chr1	42254606	42259881	hs1534	7.12	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	4005
chr1	42689561	42692608	chr1	41143611	41146886	hs1581	7.97	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3047
chr1	42689561	42692608	chr1	41143611	41146886	hs1581	8.24	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3047
chr1	42689561	42692608	chr1	41165082	41168931	hs1093	5.16	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3047
chr1	42689561	42692608	chr1	41273649	41277960	hs1112	10.44	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3047
chr1	42689561	42692608	chr1	41273649	41277960	hs1112	6.05	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3047
chr1	42689561	42692608	chr1	41273649	41277960	hs1112	9.27	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3047
chr1	42689561	42692608	chr1	41386365	41391857	hs1555	7.4	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3047
chr1	42689561	42692608	chr1	42241690	42245063	hs1131	5.09	FL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3047
chr1	42689561	42692608	chr1	42241690	42245063	hs1131	5.33	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3047
chr1	42689561	42692608	chr1	42241690	42245063	hs1131	6.26	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3047
chr1	42689561	42692608	chr1	42241690	42245063	hs1131	8.84	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3047
chr1	42692609	42698332	chr1	41143611	41146886	hs1581	12.14	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41143611	41146886	hs1581	6.61	HL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41143611	41146886	hs1581	7.56	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41143611	41146886	hs1581	7.66	FL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41143611	41146886	hs1581	7.69	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41143611	41146886	hs1581	8.62	HR	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41143611	41146886	hs1581	9.17	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41143611	41146886	hs1581	9.2	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41143611	41146886	hs1581	9.35	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41143611	41146886	hs1581	9.68	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41165082	41168931	hs1093	12.97	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41165082	41168931	hs1093	5.49	HL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41165082	41168931	hs1093	8.51	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41165082	41168931	hs1093	8.7	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41273649	41277960	hs1112	11.76	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41273649	41277960	hs1112	12.25	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41273649	41277960	hs1112	12.75	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41273649	41277960	hs1112	13.38	HL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41273649	41277960	hs1112	13.69	HR	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41273649	41277960	hs1112	14.01	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41273649	41277960	hs1112	6.72	FL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41273649	41277960	hs1112	9.18	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41273649	41277960	hs1112	9.79	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41386365	41391857	hs1555	13.14	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41386365	41391857	hs1555	5.25	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41386365	41391857	hs1555	6.9	HR	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41386365	41391857	hs1555	7.16	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41386365	41391857	hs1555	8.24	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41386365	41391857	hs1555	9.9	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41918170	41922183	hs1303	5.04	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	41918170	41922183	hs1303	6.24	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	42241690	42245063	hs1131	5.41	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	42241690	42245063	hs1131	6.14	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	42254606	42259881	hs1534	6.25	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42692609	42698332	chr1	42254606	42259881	hs1534	6.95	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	5723
chr1	42698333	42701991	chr1	41143611	41146886	hs1581	5.15	FL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41143611	41146886	hs1581	5.85	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41143611	41146886	hs1581	6.06	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41143611	41146886	hs1581	6.11	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41165082	41168931	hs1093	6.32	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41165082	41168931	hs1093	8.61	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41273649	41277960	hs1112	5.76	HL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41273649	41277960	hs1112	5.77	MB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41273649	41277960	hs1112	6.03	NT	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41273649	41277960	hs1112	6.14	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41273649	41277960	hs1112	6.58	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41273649	41277960	hs1112	7.84	FL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41273649	41277960	hs1112	8.66	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41273649	41277960	hs1112	9.67	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41273649	41277960	hs1112	9.74	CF	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41386365	41391857	hs1555	5.09	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41386365	41391857	hs1555	5.49	HB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41386365	41391857	hs1555	6.08	HL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41386365	41391857	hs1555	7.58	HR	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41386365	41391857	hs1555	7.66	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	41386365	41391857	hs1555	7.81	FB	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	42241690	42245063	hs1131	5.04	TK	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
chr1	42698333	42701991	chr1	42254606	42259881	hs1534	5.28	TL	chr1	42678240	42720041	Gm20646, Pantr1, Pantr2, Pou3f3	3658
